title,website_url,thsm_review_url,grades_or_ages,prices_mentioned,description
A.C.E.,http://www.aceministries.com/homeschool/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/ace/,9th; 2-12; k5 through 10th grade,"$500; $4000-$6000; $,",
Abeka,https://www.abeka.com/HomeSchool/Products/ParentLed/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/abeka/,K5 and 1st Grade; K-12; 9-11,"$200; $1,800.; $563.",
Abeka Academy,http://www.abekaacademy.org/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/a-beka-academy/,8th; 7; 4th-12th,"$75; $2,000; $20",
Acellus/Power Homeschool,https://www.acellusacademy.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/acellus-academy/,"1-3 so far; 7th; K, 1, 10, 11, 12",$249/mo; $2000; $79/mo,
ALEKS,http://www.aleks.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/aleks/,"6, then stopped; 6th through 12th; 7",,
All About Reading,http://www.allaboutlearningpress.com/all-about-reading/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/all-about-reading/,K-3; 1; Kinder,,
Apologia,https://www.apologia.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/apologia/,"6th; 9; Grade 8,9,10,11,12",,
BJU Press,https://www.bjupresshomeschool.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/bju-press/,K5 & 2; 4th; Grade 11 Algebra 2,$2400; $200; $200.,
Fast Transcripts,https://fasttranscripts.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/fast-transcripts/,High school,,
Ignite Christian Academy (formerly Alpha Omega Academy),https://www.ignitechristianacademy.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/alpha-omega-academy/,1-8 still enrolled; 9th; 11th Grade,$300; $50,
IXL,http://www.ixl.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/ixl/,"8,9,10,11; 1-8; 1-5",$24; $23; $1,
Laurel Springs School,http://www.laurelsprings.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/laurel-springs-school/,"2, 7; none; 10-12",$300; $7000; $200,
Liberty University Online Academy,http://www.libertyonlineacademy.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/liberty-university-online-academy/,Kindergarten; 9th & 11th; 8,$400; $185/mo; $300,
Master Books,https://www.masterbooks.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/master-books/,preschool - 5th grade; 1-9; 2-8,,
Math-U-See,http://www.mathusee.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/math-u-see/,"1,5,7; 3, 7; Alpha- Epsilon",,
McRuffy Press,https://mcruffy.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/mcruffy-press/,KInder Garten; 5th; K,"$499.99; $198; $499.99,",
Mystery of History,http://brightideaspress.com/?page_id=1900,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/mystery-of-history/,"4th through 8th grades.; 1, 3, 5; 3",,
"Sing, Spell, Read and Write",http://www.pearsonschool.com/index.cfm?locator=PSZ4Z4&PMDBSUBCATEGORYID=&PMDBSITEID=2781&PMDBSUBSOLUTIONID=6731&PMDBSOLUTIONID=6724&PMDBSUBJECTAREAID=&PMDBCATEGORYID=3289&PMDbProgramID=1156,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/sing-spell-read-and-write/,Kindergarten and First; PreK through Grade 1; Pre K to 3,$300.,
Sonlight,http://www.sonlight.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/sonlight/,Preschool; Core Level J (8th grade history/bible/literature); 11th; 10,,
Spectrum,http://www.carsondellosa.com/cd2/default.aspx?HolderName=Spectrum,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/spectrum/,"K and some 1st grade; 5, 6; 3rd 4th and 5th",,
Teaching Textbooks™,http://www.teachingtextbooks.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/teaching-textbooks/,"4 and beginning of 5; 3, 5 and algebra; 3,4,5,6",,
The Keystone School,http://keystoneschoolonline.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/the-keystone-school/,12; ok; 7th-12th,,
Time4Learning,http://www.time4learning.com/,https://www.thehomeschoolmom.com/homeschool-curriculum-reviews/time-4-learning/,"2,3,4,5,6; 6; Kinder",$80; $5.99,